protein,replicate,selection,stat,pval,pass
2x49_A,1,bb,0.249272349272349,6.88519381718668e-07,TRUE
2x49_A,1,ca,0.250589050589051,5.88108131321345e-07,TRUE
2x49_A,2,all,0.188911988911989,0.000388141542833501,TRUE
2x49_A,2,bb,0.135550935550936,0.0245393033153742,TRUE
2x49_A,2,ca,0.103257103257103,0.155532269864168,FALSE
2x49_A,3,all,0.0958766458766459,0.220956365248629,FALSE
2x49_A,3,bb,0.0616077616077616,0.753677234549141,FALSE
2x49_A,3,ca,0.0892238392238392,0.296202320801799,FALSE
2yjg_A,1,all,0.130502659779508,0.0105569723709873,TRUE
2yjg_A,1,bb,0.0931308303137769,0.138365578857282,FALSE
2yjg_A,1,ca,0.198423406059672,1.08634048093022e-05,TRUE
2yjg_A,2,all,0.0695975637961607,0.444947109067669,FALSE
2yjg_A,2,bb,0.0888520545833012,0.175794186480474,FALSE
2yjg_A,2,ca,0.0761313699791844,0.334124028019535,FALSE
2yjg_A,3,all,0.0740498034076015,0.367294002799584,FALSE
2yjg_A,3,bb,0.0905481458638501,0.160098309949104,FALSE
2yjg_A,3,ca,0.0920514994988821,0.147138797876864,FALSE
2fef_A,1,all,0.251572327044025,0.000193877267381615,TRUE
2fef_A,1,bb,0.326764500349406,3.38687646727128e-07,TRUE
2fef_A,1,ca,0.268204053109714,5.48669547633066e-05,TRUE
2fef_A,2,all,0.416352201257862,2.03209801393317e-11,TRUE
2fef_A,2,bb,0.386722571628232,6.56013550882378e-10,TRUE
2fef_A,2,ca,0.240810621942697,0.000420300507975073,TRUE
2fef_A,3,all,0.107197763801537,0.371076945866645,FALSE
2fef_A,3,bb,0.149266247379455,0.0772811299299006,FALSE
2fef_A,3,ca,0.187980433263452,0.0114848777741493,TRUE
2wr8_A,1,all,0.242362002567394,0.00170580680586514,TRUE
2wr8_A,1,bb,0.267843388960205,0.000356983270370609,TRUE
2wr8_A,1,ca,0.116495507060334,0.387877399829755,FALSE
2wr8_A,2,all,0.502310654685494,1.31114223198117e-13,TRUE
2wr8_A,2,bb,0.457509627727856,2.31433587569746e-11,TRUE
2wr8_A,2,ca,0.460847240051348,1.60057302980482e-11,TRUE
2wr8_A,3,all,0.205263157894737,0.0125777891076023,TRUE
2wr8_A,3,bb,0.190757381258023,0.0251047082351625,TRUE
2wr8_A,3,ca,0.235879332477535,0.00247695382530717,TRUE
3a3d_B,1,all,0.0439534019627128,0.874380552725659,FALSE
3a3d_B,1,bb,0.0454396433020785,0.847627934796299,FALSE
3a3d_B,1,ca,0.0571110091141564,0.594401380240357,FALSE
3a3d_B,2,all,0.15048193561078,0.000536944548932848,TRUE
3a3d_B,2,bb,0.119817279741219,0.0108905963701799,TRUE
3a3d_B,2,ca,0.151399908202741,0.000485542851803928,TRUE
3a3d_B,3,all,0.037483880838415,0.96060749516962,FALSE
3a3d_B,3,bb,0.0259655104583306,0.999699298499851,FALSE
3a3d_B,3,ca,0.0291784145301947,0.997820612807931,FALSE
3hlz_A,1,all,0.219918159699182,0.00299874018442276,TRUE
3hlz_A,1,bb,0.211125857111259,0.00499158541725747,TRUE
3hlz_A,1,ca,0.185633709356337,0.0194461630080827,TRUE
3hlz_A,2,all,0.340134925901349,3.51161509097297e-07,TRUE
3hlz_A,2,bb,0.201282902012829,0.00861533318714331,TRUE
3hlz_A,2,ca,0.363138686131387,3.98875968745482e-08,TRUE
